media-thumbnail-wrapper href,no-tracks src,media-thumbnail-wrapper,n,business-name href,business-name,categories 2,categories href 2,categories 3,categories href 3,rating href,count,number,years-in-business,track-visit-website,track-visit-website href,track-map-it,track-map-it href,phones,street-address,locality,body,media-thumbnail-wrapper src,ta-rating-wrapper href,ta-count,number 2,years-with-yp,years-with-yp src,menu,menu href,action,action href,action href 2
https://www.yellowpages.com/brentwood-ca/mip/ralphs-catering-10115737?lid=1002046304839#gallery,https://i3.ypcdn.com/blob/b91e68593fe5c915c8baf4d150e6f3db9c946151_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""Ralph's Catering"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b91e68593fe5c915c8baf4d150e6f3db9c946151_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",1,https://www.yellowpages.com/brentwood-ca/mip/ralphs-catering-10115737?lid=1002046304839,Ralph's Catering,Wedding Supplies & Services,https://www.yellowpages.com/ca/wedding-supplies-services,Caterers,https://www.yellowpages.com/ca/caterers,https://www.yellowpages.com/brentwood-ca/mip/ralphs-catering-10115737?lid=1002046304839#yp-rating,(1),38,YEARSIN BUSINESS,Website,http://www.cateringbyralph.com/,Directions,https://www.yellowpages.com/listings/1002046304839/directions,(925) 308-6750,71 Sand Creek Rd Ste C,"Brentwood, CA 94513","Talk about creative!!!  Fresh food, so flavorful.  Ralph's food is wonderful, but the service is great too!",,,,,,,,,,,
https://www.yellowpages.com/fairfield-ca/mip/happy-garden-12216238?lid=184159054,,,2,https://www.yellowpages.com/fairfield-ca/mip/happy-garden-12216238?lid=184159054,Happy Garden,Asian Restaurants,https://www.yellowpages.com/ca/asian-restaurants,Take Out Restaurants,https://www.yellowpages.com/ca/take-out-restaurants,https://www.yellowpages.com/fairfield-ca/mip/happy-garden-12216238?lid=184159054#yp-rating,(3),32,YEARSIN BUSINESS,Website,http://happygardenfairfield.com/,Directions,https://www.yellowpages.com/listings/184159054/directions,(707) 999-7617,5055 Business Center Dr,"Fairfield, CA 94534","I think the first review on this site is for the wrong restaurant -- all the other restaurants the reviewer has written about are near Nashville,…",https://i4.ypcdn.com/ypu/images/default-thumbnails/thumbnail-1.svg?8abd661,https://www.yellowpages.com/fairfield-ca/mip/happy-garden-12216238?lid=184159054#ta-rating,(14),9,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/12216238/menu?lid=184159054,Order Online,http://redirect.singleapi.com/?trackingId=sp-l198821-t1-p17-rNBQXA4DZFVTWC4TEMVXC2OJU,[object Object]
https://www.yellowpages.com/stockton-ca/mip/arroyos-mexican-cafe-12916814?lid=1001845634261,,,3,https://www.yellowpages.com/stockton-ca/mip/arroyos-mexican-cafe-12916814?lid=1001845634261,Arroyo's Mexican Cafe,Mexican Restaurants,https://www.yellowpages.com/ca/mexican-restaurants,Banquet Halls & Reception Facilities,https://www.yellowpages.com/ca/banquet-halls-reception-facilities,https://www.yellowpages.com/stockton-ca/mip/arroyos-mexican-cafe-12916814?lid=1001845634261#yp-rating,(5),75,YEARSIN BUSINESS,Website,http://arroyoscafe.com/,Directions,https://www.yellowpages.com/listings/1001845634261/directions,(209) 279-5195,2381 W March Ln,"Stockton, CA 95207",,https://i1.ypcdn.com/ypu/images/default-thumbnails/thumbnail-2.svg?8abd661,https://www.yellowpages.com/stockton-ca/mip/arroyos-mexican-cafe-12916814?lid=1001845634261#ta-rating,(61),5,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/12916814/menu?lid=1001845634261,Order Online,http://redirect.singleapi.com/?trackingId=sp-l691386-t1-p17-rMFZHE33ZN5ZS2Y3BMZSQ====,[object Object]
https://www.yellowpages.com/monterey-ca/mip/jacks-resturant-lounge-23185778?lid=1001813212942#gallery,https://i3.ypcdn.com/blob/8af70a4331eed2a5a627b7d66260a8e2ec287f59_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""Jacks Resturant &amp; Lounge"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/8af70a4331eed2a5a627b7d66260a8e2ec287f59_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",4,https://www.yellowpages.com/monterey-ca/mip/jacks-resturant-lounge-23185778?lid=1001813212942,Jacks Resturant & Lounge,Theatres,https://www.yellowpages.com/ca/theatres,Bars,https://www.yellowpages.com/ca/bars,,,,,Website,http://www.jacksatportola.com/,Directions,https://www.yellowpages.com/listings/1001813212942/directions,(831) 649-2698,2 Portola Plz,"Monterey, CA 93940","From Business: Located in the Portola Hotel & Spa, Jacks Monterey offers locally sourced produce and other products native to Monterey County including sustainable Monterey Bay…",,,,3,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/23185778/menu?lid=1001813212942,,,
https://www.yellowpages.com/rohnert-park-ca/mip/double-decker-lanes-jim-decker-iii-3019359?lid=1002046540969,,,5,https://www.yellowpages.com/rohnert-park-ca/mip/double-decker-lanes-jim-decker-iii-3019359?lid=1002046540969,Double Decker Lanes - Jim Decker III,Pool Halls,https://www.yellowpages.com/ca/pool-halls,Banquet Halls & Reception Facilities,https://www.yellowpages.com/ca/banquet-halls-reception-facilities,https://www.yellowpages.com/rohnert-park-ca/mip/double-decker-lanes-jim-decker-iii-3019359?lid=1002046540969#yp-rating,(1),59,YEARSIN BUSINESS,Website,http://www.doubledeckerlanes.com/,Directions,https://www.yellowpages.com/listings/1002046540969/directions,(707) 585-0226,300 Golf Course Dr,"Rohnert Park, CA 94928",I like the lanes. Overal a great crownd. It is about $20 per person after it's all said and done. The lanes in Windsor are a bit bumpy. The…,https://i1.ypcdn.com/ypu/images/default-thumbnails/thumbnail-4.svg?8abd661,https://www.yellowpages.com/rohnert-park-ca/mip/double-decker-lanes-jim-decker-iii-3019359?lid=1002046540969#ta-rating,(1),,,,,,,,
https://www.yellowpages.com/pasadena-ca/mip/kathleens-restaurant-4216604?lid=432820805#gallery,https://i3.ypcdn.com/blob/9fccde4385d5f96ab6facb14f7675c11f1cbfc7f_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""Kathleen's Restaurant"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/9fccde4385d5f96ab6facb14f7675c11f1cbfc7f_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",6,https://www.yellowpages.com/pasadena-ca/mip/kathleens-restaurant-4216604?lid=432820805,Kathleen's Restaurant,American Restaurants,https://www.yellowpages.com/ca/american-restaurants,Take Out Restaurants,https://www.yellowpages.com/ca/take-out-restaurants,https://www.yellowpages.com/pasadena-ca/mip/kathleens-restaurant-4216604?lid=432820805#yp-rating,(6),39,YEARSIN BUSINESS,Website,http://www.kathleensrestaurant.com/,Directions,https://www.yellowpages.com/listings/432820805/directions,(626) 578-0722,595 N Lake Ave,"Pasadena, CA 91101","Magnificent Mexican breakfasts--best in town. My husband is addicted to the Huevos Rancheros. On the other hand, I love the Spinach omelet when…",,https://www.yellowpages.com/pasadena-ca/mip/kathleens-restaurant-4216604?lid=432820805#ta-rating,(34),21,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/4216604/menu?lid=432820805,Order Online,http://redirect.singleapi.com/?trackingId=sp-l12502-t1-p17-rNNQXI2DMMVSW44Y=,[object Object]
https://www.yellowpages.com/hayward-ca/mip/lorettas-catering-from-torpedos-452215709?lid=1001880245310,,,7,https://www.yellowpages.com/hayward-ca/mip/lorettas-catering-from-torpedos-452215709?lid=1001880245310,Loretta's Catering From Torpedos,Caterers,https://www.yellowpages.com/ca/caterers,Sandwich Shops,https://www.yellowpages.com/ca/sandwich-shops,,,38,YEARSIN BUSINESS,,,Directions,https://www.yellowpages.com/listings/1001880245310/directions,(510) 785-6583,22435 Santa Clara St,"Hayward, CA 94541",From Business: Catering For Special Events - Party Planning - Weddings - Memorials - Corporate Events - Office Parties - Complimentary Consultation - Delivery Available - Call…,https://i1.ypcdn.com/ypu/images/default-thumbnails/thumbnail-6.svg?8abd661,,,3,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,,,,,
https://www.yellowpages.com/monterey-ca/mip/peter-bs-brewpub-460632370?lid=1001809832643#gallery,https://i3.ypcdn.com/blob/bbeb86a00a985b5006fa7687e1fb9764fe470c41_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""Peter B's Brewpub"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/bbeb86a00a985b5006fa7687e1fb9764fe470c41_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",8,https://www.yellowpages.com/monterey-ca/mip/peter-bs-brewpub-460632370?lid=1001809832643,Peter B's Brewpub,Wine Bars,https://www.yellowpages.com/ca/wine-bars,Bar & Grills,https://www.yellowpages.com/ca/bar-grills,https://www.yellowpages.com/monterey-ca/mip/peter-bs-brewpub-460632370?lid=1001809832643#yp-rating,(3),14,YEARSIN BUSINESS,Website,http://www.peterbsbrewpub.com/,Directions,https://www.yellowpages.com/listings/1001809832643/directions,(831) 649-2699,2 Portola Plz,"Monterey, CA 93940",I would first like to thank our waiter Markus L. For being so knowledgeable and he went out of his way to get us what we wanted. We had a great…,,https://www.yellowpages.com/monterey-ca/mip/peter-bs-brewpub-460632370?lid=1001809832643#ta-rating,(644),3,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/460632370/menu?lid=1001809832643,Order Online,http://redirect.singleapi.com/?trackingId=sp-l798910-t1-p17-rOBSXIZLSFVRHGLLCOJSXO4DVMI======,[object Object]
https://www.yellowpages.com/reno-nv/mip/paisans-old-world-deli-catering-461696350?lid=189373409,,,9,https://www.yellowpages.com/reno-nv/mip/paisans-old-world-deli-catering-461696350?lid=189373409,Paisan's Old World Deli & Catering,Italian Restaurants,https://www.yellowpages.com/ca/italian-restaurants,Restaurant Delivery Service,https://www.yellowpages.com/ca/restaurant-delivery-service,,,26,YEARSIN BUSINESS,Website,http://www.paisanscatering.com/,,,(775) 538-2356,,,From Business: Looking for the perfect place to end your long day? Look no further. The Paisan's Old World Deli & Catering restaurant will welcome you with its friendly service…,https://i4.ypcdn.com/ypu/images/default-thumbnails/thumbnail-1.svg?8abd661,,,9,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,,,,,
https://www.yellowpages.com/sacramento-ca/mip/dannys-mini-donuts-462591890?lid=1000116633874#gallery,https://i3.ypcdn.com/blob/f3727e86fdbd303b2de84b9463e87ef3ab2bdef4_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""Danny's Mini Donuts"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/f3727e86fdbd303b2de84b9463e87ef3ab2bdef4_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",10,https://www.yellowpages.com/sacramento-ca/mip/dannys-mini-donuts-462591890?lid=1000116633874,Danny's Mini Donuts,Dessert Restaurants,https://www.yellowpages.com/ca/dessert-restaurants,Sandwich Shops,https://www.yellowpages.com/ca/sandwich-shops,https://www.yellowpages.com/sacramento-ca/mip/dannys-mini-donuts-462591890?lid=1000116633874#yp-rating,(1),,,,,Directions,https://www.yellowpages.com/listings/1000116633874/directions,(916) 498-9255,900 2nd St,"Sacramento, CA 95814","Yummy, fresh, hot donuts.  The best part is they're right across from the train museum and they validate your parking!",,https://www.yellowpages.com/sacramento-ca/mip/dannys-mini-donuts-462591890?lid=1000116633874#ta-rating,(50),9,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/462591890/menu?lid=1000116633874,Order Online,http://redirect.singleapi.com/?trackingId=sp-l1070318-t1-p17-rMRQW43TZOMWW22LONEWWI33OOV2HG===,[object Object]
https://www.yellowpages.com/pinole-ca/mip/china-house-473674904?lid=1002009826541,,,11,https://www.yellowpages.com/pinole-ca/mip/china-house-473674904?lid=1002009826541,China House,Take Out Restaurants,https://www.yellowpages.com/ca/take-out-restaurants,Asian Restaurants,https://www.yellowpages.com/ca/asian-restaurants,https://www.yellowpages.com/pinole-ca/mip/china-house-473674904?lid=1002009826541#yp-rating,(1),10,YEARSIN BUSINESS,Website,http://chinahousepinole.com/,Directions,https://www.yellowpages.com/listings/1002009826541/directions,(510) 241-2178,1971 San Pablo Ave,"Pinole, CA 94564",They have a lot of good stuff.,https://i3.ypcdn.com/ypu/images/default-thumbnails/thumbnail-3.svg?8abd661,https://www.yellowpages.com/pinole-ca/mip/china-house-473674904?lid=1002009826541#ta-rating,(8),1,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/473674904/menu?lid=1002009826541,Order Online,http://redirect.singleapi.com/?trackingId=sp-l776019-t1-p17-rMNUGS3TBFVUG65LTMUWXEZLTORQXK4TBNZ2C2NQ=,[object Object]
https://www.yellowpages.com/livingston-ca/mip/la-morenita-475358155?lid=1000108773660#gallery,https://i3.ypcdn.com/blob/5961276d6ef28a48f2fab93cccd7b7f05ef92b7f_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""La Morenita"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/5961276d6ef28a48f2fab93cccd7b7f05ef92b7f_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",12,https://www.yellowpages.com/livingston-ca/mip/la-morenita-475358155?lid=1000108773660,La Morenita,Mexican Restaurants,https://www.yellowpages.com/ca/mexican-restaurants,,,,,18,YEARSIN BUSINESS,Website,http://www.abc.ca.gov/,Directions,https://www.yellowpages.com/listings/1000108773660/directions,(209) 394-3349,242 N Main St,"Livingston, CA 95334",,,https://www.yellowpages.com/livingston-ca/mip/la-morenita-475358155?lid=1000108773660#ta-rating,(21),8,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,View Menu,https://www.yellowpages.com/listings/475358155/menu?lid=1000108773660,,,
https://www.yellowpages.com/monterey-ca/mip/portola-hotel-spa-5278961?lid=1000088523616#gallery,https://i3.ypcdn.com/blob/4212bb07f277d0994ad017030f6e369c03d81e19_100x100_crop.jpg?8abd661,"<img class=""csrp"" alt=""Portola Hotel &amp; Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/4212bb07f277d0994ad017030f6e369c03d81e19_100x100_crop.jpg?8abd661
"" width=""100"" height=""100"">",13,https://www.yellowpages.com/monterey-ca/mip/portola-hotel-spa-5278961?lid=1000088523616,Portola Hotel & Spa,Beauty Salons,https://www.yellowpages.com/ca/beauty-salons,Health Resorts,https://www.yellowpages.com/ca/health-resorts,https://www.yellowpages.com/monterey-ca/mip/portola-hotel-spa-5278961?lid=1000088523616#yp-rating,(6),,,Website,http://www.portolahotel.com/,Directions,https://www.yellowpages.com/listings/1000088523616/directions,(831) 649-4511,2 Portola Plz,"Monterey, CA 93940",Loved our stay at the Portola Hotel & Spa. The Spa was just great! Loved the food at Jack's and the hotel staff was very accomodating. Next…,,https://www.yellowpages.com/monterey-ca/mip/portola-hotel-spa-5278961?lid=1000088523616#ta-rating,(3506),3,YEARS  WITH,https://i3.ypcdn.com/ypu/images/svgs/ypIcon.svg?8abd661,Services,https://www.yellowpages.com/listings/5278961/menu?lid=1000088523616,,,
https://www.yellowpages.com/fresno-ca/mip/valparaiso-cafe-roastery-530992783?lid=1002061693999,,,14,https://www.yellowpages.com/fresno-ca/mip/valparaiso-cafe-roastery-530992783?lid=1002061693999,Valparaiso Cafe & Roastery,Beverages,https://www.yellowpages.com/ca/beverages,Coffee Shops,https://www.yellowpages.com/ca/coffee-shops,https://www.yellowpages.com/fresno-ca/mip/valparaiso-cafe-roastery-530992783?lid=1002061693999#yp-rating,(1),4,YEARSIN BUSINESS,Website,http://www.valparaisocoffee.com/,Directions,https://www.yellowpages.com/listings/1002061693999/directions,(559) 825-0914,744 P St Ste 102,"Fresno, CA 93721",Excellent locally roasted coffee with a large freshly brewed tea selection. The service was fast with good baristas. Recommend highly for a…,https://i4.ypcdn.com/ypu/images/default-thumbnails/thumbnail-5.svg?8abd661,,,,,,,,,,